Ind,Pop,B114_1,B114_2,B159__1,B159_2,WGA_1,WGA_2,A5_1,A5_2,B157_1,B157_2,B212_1,B212_2,B121_1,B121_2,B147_1,B147_2,B249_1,B249_2,B262_1,B262_2,B264_1,B264_2
C4520,7917,256,256,120,120,155,163,205,211,160,160,205,213,177,181,329,335,183,187,326,340,223,227
C4522,7917,282,282,124,124,155,179,205,209,161,167,213,240,183,187,333,341,185,185,317,326,221,227
C3182,7917,260,276,104,130,163,177,205,217,156,164,211,217,177,177,327,339,183,187,317,318,221,221
C3189,7917,248,276,120,130,163,171,207,211,160,160,225,233,177,183,335,339,169,187,317,317,221,221
C3191,7917,254,276,104,122,163,175,211,211,160,166,221,225,177,179,339,339,191,191,318,340,0,0
C3196,7917,268,280,120,128,177,177,207,211,160,166,217,235,181,183,333,341,169,183,334,350,221,221
C3208,7917,254,272,104,104,161,175,203,203,156,164,215,215,177,183,335,341,169,185,317,346,235,235
C3211,7917,248,276,104,120,161,175,207,213,156,166,217,239,177,183,339,341,181,183,334,346,223,239
C3212,7917,254,276,104,136,161,171,209,215,164,166,229,257,177,183,331,339,173,185,317,317,235,239
C3213,7917,254,280,104,124,171,177,203,207,156,166,257,259,181,183,333,339,183,189,330,342,235,243
C3215,7917,262,278,122,130,179,179,207,207,166,166,217,237,177,181,333,333,187,189,325,325,223,227
C3217,7917,248,276,124,130,177,177,203,207,156,166,217,239,181,191,329,333,169,183,315,315,221,239
C3225,7917,248,278,134,136,155,177,0,0,160,166,213,259,177,183,339,339,169,187,315,338,235,239
C3226,7917,254,280,104,130,155,177,203,203,158,166,213,241,177,183,339,341,169,191,317,338,239,239
C3238,7917,248,248,104,124,0,0,203,207,156,160,217,217,177,183,335,341,187,189,317,334,221,227
C3239,7917,248,254,136,158,155,163,203,211,166,166,213,217,183,187,333,339,185,191,315,340,221,221
C3269,7917,272,278,122,128,163,171,203,217,166,166,205,233,181,183,0,0,169,191,0,0,237,237
C3273,7917,272,282,124,128,171,175,203,207,166,166,205,259,177,183,339,341,169,181,317,317,221,221
C3274,7917,246,252,104,134,161,163,203,207,156,156,215,229,177,183,333,341,169,187,315,334,239,239
C3354,7917,256,276,104,124,163,175,207,211,166,166,217,245,177,179,333,341,189,189,317,342,221,221
C3361,7917,254,256,122,122,161,161,207,211,156,160,213,239,177,183,333,339,181,189,334,340,235,239
