"","Ind","Pop","Longitude","Latitude","B114_1","B114_2","B159__1","B159_2","WGA_1","WGA_2","A5_1","A5_2","B121_1","B121_2","B147_1","B147_2","B249_1","B249_2","B264_1","B264_2"
"1158","U2115","APA12PACb",-79.0727626,41.3545004,248,248,104,128,161,169,207,209,185,187,331,333,169,181,235,235
"1159","U2116","APA12PACb",-79.0015697,41.3606264,254,284,130,136,161,163,0,0,189,193,333,337,169,169,227,227
"1160","U2117","APA12PACb",-78.9755408,41.3746094,248,266,122,130,165,177,203,207,177,181,327,335,181,195,221,221
"1161","U2119","APA12PACb",-78.9353871,41.388622,248,248,104,128,161,163,195,209,179,179,333,341,169,189,221,223
"1162","U2120","APA12PACb",-78.9055364,41.3997552,248,254,104,136,163,167,207,215,177,185,329,329,183,191,227,229
"1164","U2664","APA12PACb",-79.10321,41.32987,254,256,104,128,157,171,205,207,177,189,333,339,185,189,221,235
"1165","U1198","BV",-85.911685,35.9208704,248,278,130,130,163,167,207,207,171,185,327,333,173,183,237,239
"1166","U1199","BV",-85.9120226,35.9204948,256,276,130,132,163,171,203,207,179,185,333,335,169,187,223,235
"1167","U1200","BV",-85.911606,35.9185437,256,264,120,130,155,163,207,211,185,189,333,335,181,191,223,235
"1168","U1201","BV",-85.9121185,35.91835,250,260,122,132,155,169,205,209,177,189,329,333,169,187,235,237
"1169","U1202","BV",-85.9121185,35.91835,256,260,104,132,155,163,209,217,175,177,333,335,169,169,227,229
"1170","U1203","BV",-85.9117515,35.9184368,254,268,132,138,163,171,203,203,171,191,331,337,183,183,221,237
"1172","U1205","BV",-85.9091117,35.912129,248,250,124,130,161,165,207,217,189,189,327,333,187,191,235,235
"1173","U1206","BV",-85.9091682,35.9120484,248,254,124,138,163,163,203,207,177,189,333,343,183,187,233,235
"1175","U1208","BV",-85.9092124,35.9120578,248,260,104,132,163,165,203,207,171,189,333,333,183,191,227,237
"1176","U1209","BV",-85.9092803,35.9119503,250,262,120,132,163,169,203,211,177,189,333,339,183,191,235,235
"1177","U1210","BV",-85.9092099,35.9122381,248,248,128,138,163,163,209,217,181,189,327,333,169,183,223,235
"1178","U1211","BV",-85.9092131,35.9120037,248,258,132,138,163,177,207,211,171,179,337,339,169,191,221,235
"1179","U1212","BV",-85.9091913,35.9119765,256,286,104,120,171,173,211,217,171,179,333,339,187,187,221,235
"1180","U1213","BV",-85.9092813,35.9118781,248,258,130,138,163,167,207,207,171,187,337,339,169,187,235,239
"1181","U1214","BV",-85.9092815,35.9118691,248,248,120,132,161,169,203,217,179,179,333,341,183,191,221,235
"1184","U1217","BV",-85.9092379,35.9118146,250,260,130,134,163,163,209,217,171,189,339,341,183,191,235,235
"1190","U1224","BV",-85.9092487,35.9099124,250,262,120,124,155,165,203,205,187,189,329,335,169,183,221,235
"1191","U1227","BV",-85.9081974,35.9068827,248,260,104,128,155,167,209,215,177,185,335,335,169,187,235,237
"1192","U1229","BV",-85.9106894,35.9061751,254,258,104,120,163,171,199,209,177,193,327,337,169,191,233,235
"1193","U1230","BV",-85.9105579,35.9060657,248,254,104,124,161,163,207,209,177,185,329,337,169,169,219,219
"1195","U1232","BV",-85.9105071,35.9057316,258,268,104,148,161,161,199,209,171,189,333,335,169,173,221,233
"1196","U1233","BV",-85.9116893,35.9027492,252,252,104,124,163,171,194,203,177,177,329,335,0,0,221,221
"1197","U1234","BV",-85.9118237,35.9026512,248,260,104,148,161,163,207,207,171,183,333,333,173,189,227,229
"1198","U1235","BV",-85.9119164,35.9015432,256,268,124,148,155,169,199,209,185,189,331,333,183,191,221,245
"1199","U1236","BV",-85.9117613,35.9015417,248,264,124,128,163,165,203,209,187,189,331,333,187,191,221,221
"1201","U1239","BV",-85.9117226,35.9011267,254,276,124,134,163,165,203,207,179,185,331,333,169,183,221,235
"1202","U1240","BV",-85.9115241,35.9010618,258,268,124,128,163,163,203,211,185,189,331,333,191,191,237,237
"1204","U1242","BV",-85.9123502,35.8981843,248,248,130,138,163,165,205,207,177,177,333,337,169,191,237,239
"1206","U1245","BV",-85.9125304,35.8979695,248,254,120,138,159,163,207,207,185,185,333,337,183,195,235,237
"1210","U1251","BV",-85.9133896,35.8967241,258,266,120,130,169,171,207,211,171,189,337,339,191,193,235,235
"1217","U1262","BV",-85.9136463,35.8965822,248,266,115,132,159,169,203,207,171,177,333,337,183,193,225,237
"1219","U1267","BV",-85.9135978,35.8968883,262,276,122,132,163,163,203,207,177,185,335,337,189,193,227,235
"1223","U1274","BV",-85.908273,35.9070276,248,256,104,128,159,173,199,211,169,171,333,335,183,187,235,235
"1226","U1294","BV",-85.9095517,35.9099422,250,278,122,124,155,169,207,211,189,189,329,331,183,187,223,235
