"","Ind","Pop","Longitude","Latitude","B114_1","B114_2","B159__1","B159_2","WGA_1","WGA_2","A5_1","A5_2","B157_1","B157_2","B212_1","B212_2","B121_1","B121_2","B147_1","B147_2","B249_1","B249_2","B262_1","B262_2","B264_1","B264_2"
"394","C4575","7917",-67.78121,46.1109,264,282,0,0,163,163,207,207,167,167,215,221,177,177,339,343,169,177,315,338,221,239
"396","C4577","7917",-67.78123,46.1098,248,280,0,0,161,163,203,217,167,167,221,221,181,183,341,341,167,177,317,334,237,239
"399","C4600","7917",-67.7246,46.21785,248,280,0,0,171,171,199,205,161,161,217,217,177,185,333,339,169,181,317,317,0,0
"411","C4612","7917",-67.68191,46.19322,248,282,0,0,159,165,203,203,158,164,217,217,177,183,331,343,169,177,322,334,235,235
"420","C4621","7917",-67.67352,46.19163,254,272,122,122,159,177,217,217,161,169,217,217,181,187,341,341,169,189,317,317,221,227
"421","C4622","7917",-67.73211,46.22433,248,276,104,130,179,179,203,217,161,164,0,0,185,185,327,345,169,185,340,344,239,239
"422","C4623","7917",-67.72203,46.22078,248,252,122,122,163,165,205,205,157,167,227,227,185,193,327,333,183,191,340,340,237,239
"423","C4624","7917",-67.72523,46.21958,248,278,104,124,163,179,211,219,167,167,215,215,171,183,333,341,181,185,338,340,223,237
"424","C4625","7917",-67.72469,46.21936,276,284,124,124,163,165,217,217,157,160,217,243,171,177,333,343,181,183,317,338,227,235
"426","C4627","7917",-67.72304,46.22002,254,282,104,124,163,165,203,203,157,167,212,217,171,177,335,335,185,191,317,340,227,227
"430","C4631","7917",-67.73234,46.22438,248,272,122,132,179,179,209,209,167,167,221,240,177,189,337,341,169,183,317,334,235,239
"431","C4632","7917",-67.77552,46.11082,248,254,130,130,163,165,203,211,161,164,240,240,179,179,333,343,187,187,317,340,237,237
"432","C3939","7917",-67.46129,45.89572,276,276,122,128,161,167,203,209,167,167,217,217,183,183,333,341,181,187,340,340,235,235
"433","C3940","7917",-67.46123,45.89587,264,264,122,128,161,161,203,209,161,167,213,213,177,181,331,341,187,187,317,336,237,237
"434","C3945","7917",-67.2463,45.96757,248,248,130,130,163,163,203,205,161,167,236,236,177,179,335,341,181,185,317,330,223,239
"440","C4520","7917",-67.63135,45.90736,256,256,120,120,155,163,205,211,160,160,205,213,177,181,329,335,183,187,326,340,223,227
"442","C4522","7917",-67.62744,45.90804,282,282,124,124,155,179,205,209,161,167,213,240,183,187,333,341,185,185,317,326,221,227
"456","C3182","7917",-67.53717,46.02178,260,276,104,130,163,177,205,217,156,164,211,217,177,177,327,339,183,187,317,318,221,221
"457","C3189","7917",-67.53753,46.02133,248,276,120,130,163,171,207,211,160,160,225,233,177,183,335,339,169,187,317,317,221,221
"458","C3191","7917",-67.53795,46.02135,254,276,104,122,163,175,211,211,160,166,221,225,177,179,339,339,191,191,318,340,0,0
